lon lat topography LAB
-40.500000 82.500000 -0.637630 171.419998
-39.500000 82.500000 -0.676100 171.690002
-38.500000 82.500000 -0.695740 171.820007
-37.500000 82.500000 -0.686250 171.649994
-36.500000 82.500000 -0.771830 171.080002
-47.500000 81.500000 -0.464340 198.600006
-46.500000 81.500000 -0.563990 198.369995
-45.500000 81.500000 -0.672280 198.229996
-43.500000 81.500000 -0.742250 198.360001
-42.500000 81.500000 -0.687690 198.479996
-41.500000 81.500000 -0.629000 198.539993
-40.500000 81.500000 -0.663590 198.600006
-39.500000 81.500000 -0.704600 198.460007
-38.500000 81.500000 -0.712510 198.190002
-37.500000 81.500000 -0.724930 197.669998
-36.500000 81.500000 -0.831330 196.839996
-35.500000 81.500000 -0.970710 195.410004
-34.500000 81.500000 -1.049800 193.190002
-63.500000 80.500000 -1.315000 222.820007
-62.500000 80.500000 -1.204900 224.729996
-61.500000 80.500000 -1.164400 226.490005
-60.500000 80.500000 -0.929430 228.199997
-59.500000 80.500000 -0.843230 229.580002
-58.500000 80.500000 -0.792010 230.679993
-57.500000 80.500000 -0.875170 231.309998
-56.500000 80.500000 -0.835320 231.479996
-55.500000 80.500000 -0.897530 231.380005
-54.500000 80.500000 -0.854640 231.009995
-53.500000 80.500000 -0.872720 230.529999
-52.500000 80.500000 -0.813770 229.899994
-51.500000 80.500000 -0.816330 229.130005
-50.500000 80.500000 -0.768620 228.160004
-49.500000 80.500000 -0.787130 227.199997
-48.500000 80.500000 -0.753260 226.160004
-47.500000 80.500000 -0.782540 225.139999
-46.500000 80.500000 -0.731620 224.039993
-45.500000 80.500000 -0.711130 223.100006
-44.500000 80.500000 -0.696610 222.220001
-43.500000 80.500000 -0.660000 221.570007
-42.500000 80.500000 -0.667110 220.949997
-41.500000 80.500000 -0.682050 220.309998
-40.500000 80.500000 -0.712220 219.529999
-39.500000 80.500000 -0.750550 218.649994
-38.500000 80.500000 -0.720460 217.690002
-37.500000 80.500000 -0.696910 216.729996
-36.500000 80.500000 -0.765620 215.759995
-35.500000 80.500000 -0.828510 214.600006
-34.500000 80.500000 -0.880230 213.300003
-33.500000 80.500000 -0.855990 211.779999
-32.500000 80.500000 -0.863360 210.199997
-31.500000 80.500000 -0.783010 208.300003
-27.500000 80.500000 -0.688570 196.839996
-26.500000 80.500000 -0.845400 192.149994
-25.500000 80.500000 -0.991610 186.889999
-24.500000 80.500000 -1.505400 180.940002
-23.500000 80.500000 -1.880400 174.899994
-67.500000 79.500000 -0.738010 229.410004
-66.500000 79.500000 -0.938300 231.619995
-65.500000 79.500000 -1.124900 233.880005
-64.500000 79.500000 -1.119700 236.179993
-63.500000 79.500000 -1.016800 238.350006
-62.500000 79.500000 -0.963760 240.389999
-61.500000 79.500000 -0.928610 242.220001
-60.500000 79.500000 -0.850660 243.910004
-59.500000 79.500000 -0.805950 245.250000
-58.500000 79.500000 -0.795810 246.270004
-57.500000 79.500000 -0.819020 246.809998
-56.500000 79.500000 -0.831160 246.830002
-55.500000 79.500000 -0.860050 246.570007
-54.500000 79.500000 -0.857860 245.970001
-53.500000 79.500000 -0.865670 245.309998
-52.500000 79.500000 -0.847930 244.520004
-51.500000 79.500000 -0.845400 243.660004
-50.500000 79.500000 -0.827930 242.619995
-49.500000 79.500000 -0.828210 241.570007
-48.500000 79.500000 -0.810850 240.389999
-47.500000 79.500000 -0.804750 239.220001
-46.500000 79.500000 -0.762210 237.929993
-45.500000 79.500000 -0.724850 236.750000
-44.500000 79.500000 -0.695680 235.570007
-43.500000 79.500000 -0.671930 234.570007
-42.500000 79.500000 -0.674610 233.550003
-41.500000 79.500000 -0.692230 232.369995
-40.500000 79.500000 -0.715110 230.910004
-39.500000 79.500000 -0.734060 229.339996
-38.500000 79.500000 -0.719530 227.729996
-37.500000 79.500000 -0.711450 226.279999
-36.500000 79.500000 -0.740060 225.059998
-35.500000 79.500000 -0.778880 224.029999
-34.500000 79.500000 -0.808870 223.289993
-33.500000 79.500000 -0.801680 222.679993
-32.500000 79.500000 -0.777400 222.380005
-31.500000 79.500000 -0.716710 221.970001
-30.500000 79.500000 -0.685970 221.639999
-29.500000 79.500000 -0.648870 220.809998
-28.500000 79.500000 -0.664490 219.589996
-27.500000 79.500000 -0.701830 217.490005
-26.500000 79.500000 -0.827750 214.539993
-25.500000 79.500000 -1.052000 210.880005
-24.500000 79.500000 -1.386600 206.429993
-23.500000 79.500000 -1.666300 201.630005
-22.500000 79.500000 -1.729900 196.289993
-69.500000 78.500000 -0.969590 217.500000
-68.500000 78.500000 -0.906100 219.750000
-67.500000 78.500000 -0.896700 221.929993
-66.500000 78.500000 -0.945620 224.199997
-65.500000 78.500000 -0.949190 226.479996
-64.500000 78.500000 -0.856820 228.839996
-63.500000 78.500000 -0.677020 231.050003
-62.500000 78.500000 -0.642580 233.020004
-61.500000 78.500000 -0.585200 234.869995
-60.500000 78.500000 -0.641950 236.330002
-59.500000 78.500000 -0.649050 237.770004
-58.500000 78.500000 -0.675630 238.899994
-57.500000 78.500000 -0.634790 239.899994
-56.500000 78.500000 -0.673620 240.550003
-55.500000 78.500000 -0.671390 241.000000
-54.500000 78.500000 -0.696880 241.059998
-53.500000 78.500000 -0.706670 241.059998
-52.500000 78.500000 -0.721060 240.839996
-51.500000 78.500000 -0.724990 240.589996
-50.500000 78.500000 -0.733060 240.300003
-49.500000 78.500000 -0.729370 239.889999
-48.500000 78.500000 -0.727800 239.360001
-47.500000 78.500000 -0.719000 238.770004
-46.500000 78.500000 -0.714460 238.089996
-45.500000 78.500000 -0.705800 237.360001
-44.500000 78.500000 -0.694670 236.619995
-43.500000 78.500000 -0.690550 235.800003
-42.500000 78.500000 -0.684510 234.880005
-41.500000 78.500000 -0.690080 233.539993
-40.500000 78.500000 -0.699150 231.750000
-39.500000 78.500000 -0.705680 229.809998
-38.500000 78.500000 -0.701340 227.740005
-37.500000 78.500000 -0.708470 225.899994
-36.500000 78.500000 -0.715810 224.250000
-35.500000 78.500000 -0.749400 222.979996
-34.500000 78.500000 -0.782570 222.089996
-33.500000 78.500000 -0.810920 221.429993
-32.500000 78.500000 -0.782010 221.100006
-31.500000 78.500000 -0.740950 220.880005
-30.500000 78.500000 -0.716760 220.820007
-29.500000 78.500000 -0.717280 220.539993
-28.500000 78.500000 -0.701450 220.039993
-27.500000 78.500000 -0.754700 219.190002
-26.500000 78.500000 -0.799450 218.059998
-25.500000 78.500000 -1.053900 216.350006
-24.500000 78.500000 -1.250400 214.229996
-23.500000 78.500000 -1.509800 211.339996
-22.500000 78.500000 -1.606300 207.850006
-70.500000 77.500000 -0.711590 189.330002
-69.500000 77.500000 -0.783700 190.550003
-68.500000 77.500000 -0.909070 191.899994
-67.500000 77.500000 -1.027700 193.380005
-66.500000 77.500000 -0.998760 195.080002
-65.500000 77.500000 -0.930760 196.899994
-64.500000 77.500000 -0.796580 199.009995
-63.500000 77.500000 -0.668910 201.339996
-62.500000 77.500000 -0.615730 203.820007
-61.500000 77.500000 -0.580820 206.460007
-60.500000 77.500000 -0.685920 208.919998
-59.500000 77.500000 -0.753890 211.470001
-58.500000 77.500000 -0.772980 213.820007
-57.500000 77.500000 -0.735500 216.220001
-56.500000 77.500000 -0.669640 218.479996
-55.500000 77.500000 -0.601190 220.630005
-54.500000 77.500000 -0.582480 222.429993
-53.500000 77.500000 -0.568810 223.940002
-52.500000 77.500000 -0.589550 225.029999
-51.500000 77.500000 -0.610630 225.820007
-50.500000 77.500000 -0.618110 226.440002
-49.500000 77.500000 -0.617030 226.910004
-48.500000 77.500000 -0.621030 227.339996
-47.500000 77.500000 -0.625590 227.639999
-46.500000 77.500000 -0.649890 227.779999
-45.500000 77.500000 -0.673470 227.679993
-44.500000 77.500000 -0.678570 227.380005
-43.500000 77.500000 -0.678550 226.839996
-42.500000 77.500000 -0.686260 226.080002
-41.500000 77.500000 -0.684950 224.869995
-40.500000 77.500000 -0.680590 223.210007
-39.500000 77.500000 -0.667110 221.389999
-38.500000 77.500000 -0.653080 219.440002
-37.500000 77.500000 -0.642420 217.610001
-36.500000 77.500000 -0.642910 215.809998
-35.500000 77.500000 -0.661110 214.119995
-34.500000 77.500000 -0.709060 212.529999
-33.500000 77.500000 -0.756380 211.039993
-32.500000 77.500000 -0.753110 209.750000
-31.500000 77.500000 -0.730320 208.649994
-30.500000 77.500000 -0.673660 207.800003
-29.500000 77.500000 -0.627260 207.009995
-28.500000 77.500000 -0.549680 206.300003
-27.500000 77.500000 -0.483420 205.649994
-26.500000 77.500000 -0.376730 205.119995
-25.500000 77.500000 -0.429840 204.259995
-24.500000 77.500000 -0.834110 203.179993
-23.500000 77.500000 -1.264800 201.240005
-22.500000 77.500000 -1.487900 198.619995
-63.500000 76.500000 -0.752380 159.029999
-62.500000 76.500000 -0.781880 162.550003
-61.500000 76.500000 -0.767340 166.630005
-60.500000 76.500000 -0.936080 171.149994
-59.500000 76.500000 -1.010400 175.600006
-58.500000 76.500000 -0.967330 180.009995
-57.500000 76.500000 -0.898660 184.440002
-56.500000 76.500000 -0.739440 188.910004
-55.500000 76.500000 -0.616650 193.279999
-54.500000 76.500000 -0.564190 197.500000
-53.500000 76.500000 -0.496730 200.889999
-52.500000 76.500000 -0.502780 203.600006
-51.500000 76.500000 -0.520760 205.470001
-50.500000 76.500000 -0.517510 206.820007
-49.500000 76.500000 -0.517460 208.080002
-48.500000 76.500000 -0.529240 209.460007
-47.500000 76.500000 -0.540080 210.589996
-46.500000 76.500000 -0.589820 211.509995
-45.500000 76.500000 -0.646510 211.919998
-44.500000 76.500000 -0.673310 211.880005
-43.500000 76.500000 -0.686640 211.550003
-42.500000 76.500000 -0.720540 210.899994
-41.500000 76.500000 -0.711680 209.970001
-40.500000 76.500000 -0.689100 208.759995
-39.500000 76.500000 -0.646270 207.410004
-38.500000 76.500000 -0.617290 206.059998
-37.500000 76.500000 -0.583260 204.559998
-36.500000 76.500000 -0.568730 202.919998
-35.500000 76.500000 -0.552630 200.860001
-34.500000 76.500000 -0.596320 198.270004
-33.500000 76.500000 -0.647180 195.639999
-32.500000 76.500000 -0.642330 192.850006
-31.500000 76.500000 -0.628080 190.300003
-30.500000 76.500000 -0.513750 187.899994
-29.500000 76.500000 -0.428880 185.779999
-28.500000 76.500000 -0.308360 184.000000
-27.500000 76.500000 -0.202140 182.410004
-26.500000 76.500000 0.017608 180.979996
-25.500000 76.500000 0.161820 179.440002
-24.500000 76.500000 -0.528420 177.669998
-23.500000 76.500000 -1.134600 175.160004
-22.500000 76.500000 -1.376000 171.960007
-21.500000 76.500000 -1.494300 168.130005
-56.500000 75.500000 -0.772160 164.960007
-55.500000 75.500000 -0.781560 170.940002
-54.500000 75.500000 -0.695750 176.600006
-53.500000 75.500000 -0.576880 181.149994
-52.500000 75.500000 -0.484340 184.740005
-51.500000 75.500000 -0.433490 187.330002
-50.500000 75.500000 -0.435810 189.240005
-49.500000 75.500000 -0.464340 191.009995
-48.500000 75.500000 -0.482760 192.820007
-47.500000 75.500000 -0.506960 194.360001
-46.500000 75.500000 -0.541040 195.649994
-45.500000 75.500000 -0.599970 196.410004
-44.500000 75.500000 -0.694280 196.660004
-43.500000 75.500000 -0.785620 196.610001
-42.500000 75.500000 -0.828090 196.279999
-41.500000 75.500000 -0.821980 195.679993
-40.500000 75.500000 -0.745560 194.830002
-39.500000 75.500000 -0.664390 193.729996
-38.500000 75.500000 -0.630030 192.529999
-37.500000 75.500000 -0.604350 191.089996
-36.500000 75.500000 -0.553710 189.429993
-35.500000 75.500000 -0.502260 187.179993
-34.500000 75.500000 -0.461960 184.240005
-33.500000 75.500000 -0.432430 181.029999
-32.500000 75.500000 -0.409160 177.399994
-31.500000 75.500000 -0.347880 173.679993
-30.500000 75.500000 -0.210290 169.759995
-29.500000 75.500000 -0.065507 165.949997
-28.500000 75.500000 -0.047825 162.339996
-27.500000 75.500000 -0.054383 158.979996
-26.500000 75.500000 -0.114480 155.830002
-25.500000 75.500000 -0.304340 152.509995
-24.500000 75.500000 -0.780430 148.910004
-23.500000 75.500000 -1.202600 144.779999
-22.500000 75.500000 -1.260500 140.220001
92.500000 75.500000 -0.585860 200.399994
93.500000 75.500000 -0.501670 197.289993
94.500000 75.500000 -0.383030 194.009995
95.500000 75.500000 -0.402360 190.529999
96.500000 75.500000 -0.406140 187.089996
97.500000 75.500000 -0.446830 183.600006
98.500000 75.500000 -0.462000 180.330002
99.500000 75.500000 -0.582330 177.190002
100.500000 75.500000 -0.729330 174.360001
101.500000 75.500000 -0.995990 171.779999
102.500000 75.500000 -1.208900 169.389999
103.500000 75.500000 -1.326200 167.169998
104.500000 75.500000 -1.310100 164.889999
105.500000 75.500000 -1.253700 162.479996
106.500000 75.500000 -1.128600 160.300003
107.500000 75.500000 -1.030900 158.059998
108.500000 75.500000 -0.951030 155.759995
109.500000 75.500000 -0.973070 152.940002
110.500000 75.500000 -0.993030 149.649994
111.500000 75.500000 -1.005900 145.639999
112.500000 75.500000 -0.988990 141.169998
-54.500000 74.500000 -0.852060 162.509995
-53.500000 74.500000 -0.679640 167.309998
-52.500000 74.500000 -0.492580 171.009995
-51.500000 74.500000 -0.365250 174.070007
-50.500000 74.500000 -0.370490 176.539993
-49.500000 74.500000 -0.426650 178.800003
-48.500000 74.500000 -0.441980 180.710007
-47.500000 74.500000 -0.478320 182.490005
-46.500000 74.500000 -0.493840 183.910004
-45.500000 74.500000 -0.545580 185.009995
-44.500000 74.500000 -0.700740 185.639999
-43.500000 74.500000 -0.862270 186.000000
-42.500000 74.500000 -0.900830 186.089996
-41.500000 74.500000 -0.907130 185.740005
-40.500000 74.500000 -0.776070 185.009995
-39.500000 74.500000 -0.660100 183.789993
-38.500000 74.500000 -0.638970 182.110001
-37.500000 74.500000 -0.630720 180.330002
-36.500000 74.500000 -0.535130 178.330002
-35.500000 74.500000 -0.449260 175.979996
-34.500000 74.500000 -0.341580 173.240005
-33.500000 74.500000 -0.247560 170.020004
-32.500000 74.500000 -0.226930 166.350006
-31.500000 74.500000 -0.157650 161.979996
-30.500000 74.500000 -0.042551 156.869995
-29.500000 74.500000 0.134390 151.429993
-28.500000 74.500000 -0.002155 145.649994
-27.500000 74.500000 -0.116940 140.199997
-26.500000 74.500000 -0.424910 134.949997
-25.500000 74.500000 -0.855670 129.300003
-24.500000 74.500000 -1.119000 123.169998
88.500000 74.500000 -0.970220 205.199997
89.500000 74.500000 -0.967480 204.240005
90.500000 74.500000 -0.920180 202.809998
91.500000 74.500000 -0.939180 200.919998
92.500000 74.500000 -0.887820 198.869995
93.500000 74.500000 -0.877480 196.720001
94.500000 74.500000 -0.850160 194.419998
95.500000 74.500000 -0.867740 192.199997
96.500000 74.500000 -0.851990 189.949997
97.500000 74.500000 -0.915220 187.899994
98.500000 74.500000 -0.911130 185.990005
99.500000 74.500000 -0.998760 184.389999
100.500000 74.500000 -1.053300 182.720001
101.500000 74.500000 -1.218400 180.979996
102.500000 74.500000 -1.291400 179.440002
103.500000 74.500000 -1.470600 177.960007
104.500000 74.500000 -1.487400 176.979996
105.500000 74.500000 -1.594800 176.440002
106.500000 74.500000 -1.605100 176.279999
107.500000 74.500000 -1.647200 176.419998
108.500000 74.500000 -1.723200 176.130005
109.500000 74.500000 -1.702200 175.179993
110.500000 74.500000 -1.776100 173.119995
-54.500000 73.500000 -0.893320 149.660004
-53.500000 73.500000 -0.707990 154.589996
-52.500000 73.500000 -0.514180 158.729996
-51.500000 73.500000 -0.362550 162.720001
-50.500000 73.500000 -0.326200 166.470001
-49.500000 73.500000 -0.339910 169.960007
-48.500000 73.500000 -0.363440 172.910004
-47.500000 73.500000 -0.399910 175.580002
-46.500000 73.500000 -0.457350 177.759995
-45.500000 73.500000 -0.539730 179.589996
-44.500000 73.500000 -0.663160 180.889999
-43.500000 73.500000 -0.767920 181.649994
-42.500000 73.500000 -0.808690 181.869995
-41.500000 73.500000 -0.793460 181.429993
-40.500000 73.500000 -0.713080 180.449997
-39.500000 73.500000 -0.632850 178.919998
-38.500000 73.500000 -0.607160 176.880005
-37.500000 73.500000 -0.566570 174.649994
-36.500000 73.500000 -0.443810 172.160004
-35.500000 73.500000 -0.314830 169.300003
-34.500000 73.500000 -0.277140 166.139999
-33.500000 73.500000 -0.258380 162.550003
-32.500000 73.500000 -0.227890 158.580002
-31.500000 73.500000 -0.205410 153.740005
-30.500000 73.500000 -0.261460 147.970001
-29.500000 73.500000 -0.348360 141.500000
-28.500000 73.500000 -0.386150 134.330002
-27.500000 73.500000 -0.475740 127.070000
86.500000 73.500000 -1.997900 197.619995
87.500000 73.500000 -1.896100 198.009995
88.500000 73.500000 -1.668700 197.539993
89.500000 73.500000 -1.646400 196.300003
90.500000 73.500000 -1.691800 194.839996
91.500000 73.500000 -1.646600 193.139999
92.500000 73.500000 -1.599000 191.389999
93.500000 73.500000 -1.556000 189.660004
94.500000 73.500000 -1.588100 187.800003
95.500000 73.500000 -1.661900 186.100006
96.500000 73.500000 -1.767000 184.449997
97.500000 73.500000 -1.776000 183.139999
98.500000 73.500000 -1.786900 182.029999
99.500000 73.500000 -1.792500 181.380005
100.500000 73.500000 -1.844100 180.850006
101.500000 73.500000 -1.893400 180.479996
102.500000 73.500000 -1.976700 180.460007
103.500000 73.500000 -2.092900 180.679993
104.500000 73.500000 -2.182900 181.580002
105.500000 73.500000 -2.169800 183.110001
-122.500000 72.500000 -1.957700 201.229996
-121.500000 72.500000 -1.978700 207.020004
-120.500000 72.500000 -1.969700 213.149994
-119.500000 72.500000 -1.937400 219.300003
-118.500000 72.500000 -1.946500 224.550003
-117.500000 72.500000 -1.863200 228.889999
-116.500000 72.500000 -1.843000 232.130005
-115.500000 72.500000 -1.781400 234.770004
-114.500000 72.500000 -1.800900 237.369995
-113.500000 72.500000 -1.730000 239.240005
-112.500000 72.500000 -1.595400 240.929993
-111.500000 72.500000 -1.395200 241.220001
-109.500000 72.500000 -1.385500 238.919998
-108.500000 72.500000 -1.518500 236.270004
-107.500000 72.500000 -1.524800 233.000000
-106.500000 72.500000 -1.575300 228.899994
-105.500000 72.500000 -1.566700 225.119995
-87.500000 72.500000 -1.459100 210.149994
-86.500000 72.500000 -1.460700 211.279999
-85.500000 72.500000 -1.413500 210.550003
-84.500000 72.500000 -1.406700 208.199997
-83.500000 72.500000 -1.287000 205.600006
-82.500000 72.500000 -1.387700 202.639999
-81.500000 72.500000 -1.243400 199.259995
-54.500000 72.500000 -0.986720 137.929993
-53.500000 72.500000 -0.795850 143.130005
-52.500000 72.500000 -0.610720 148.179993
-51.500000 72.500000 -0.430670 153.639999
-50.500000 72.500000 -0.371160 159.500000
-49.500000 72.500000 -0.340240 164.940002
-48.500000 72.500000 -0.356410 169.839996
-47.500000 72.500000 -0.381050 174.100006
-46.500000 72.500000 -0.478410 177.660004
-45.500000 72.500000 -0.576620 180.610001
-44.500000 72.500000 -0.655690 182.869995
-43.500000 72.500000 -0.682600 183.979996
-42.500000 72.500000 -0.702290 183.940002
-41.500000 72.500000 -0.667060 183.139999
-40.500000 72.500000 -0.633890 181.490005
-39.500000 72.500000 -0.588360 179.380005
-38.500000 72.500000 -0.582120 176.940002
-37.500000 72.500000 -0.537860 173.779999
-36.500000 72.500000 -0.394040 170.330002
-35.500000 72.500000 -0.223110 166.139999
